Character,Line,Tokens
Marshall, will you marry me,['marry']
Ted,yes perfect and then youre engaged you pop the champagne you drink a toast you have sx on the kitchen floor dont have sx on our kitchen floor,"['perfect', 'engaged', 'pop', 'champagne', 'drink', 'toast', 'sx', 'kitchen', 'floor', 'sx', 'kitchen', 'floor']"
Marshall,got it thanks for helping me plan this out ted,"['thanks', 'helping', 'plan', 'ted']"
Ted,dude are you kidding its you and lily ive been there for all the big moments of you and lily the night you met your first date other first things,"['dude', 'kidding', 'lily', 'big', 'moments', 'lily', 'night', 'met', 'first', 'date', 'first', 'things']"
Marshall, yeah sorry we thought you were asleep,"['sorry', 'thought', 'asleep']"
Ted,its physics marshall if the bottom bunk moves the top bunk moves too my god youre getting engaged tonight,"['physics', 'marshall', 'bottom', 'bunk', 'moves', 'top', 'bunk', 'moves', 'god', 'getting', 'engaged', 'tonight']"
Marshall,yeah what are you doing tonight,['tonight']
Barney, hey so you know how ive always had a thing for halfasian girls well now ive got a new favorite lebanese girls lebanese girls are the new halfasians,"['hey', 'know', 'always', 'thing', 'halfasian', 'girls', 'new', 'favorite', 'lebanese', 'girls', 'lebanese', 'girls', 'new', 'halfasians']"
Ted,hey you wanna do something tonight,"['hey', 'something', 'tonight']"
Barney,okay meet me at the bar in fifteen minutes and suit up,"['meet', 'bar', 'fifteen', 'minutes', 'suit']"
Ted,hey,['hey']
Barney,wheres your suit just once when i say suit up i wish youd put on a suit,"['wheres', 'suit', 'say', 'suit', 'wish', 'put', 'suit']"
Ted,i did that one time,"['one', 'time']"
Barney,it was a blazer,['blazer']
Ted,you know ever since college its been marshall and lily and me now its going to be marshall and lily and me theyll get married start a familybefore long im the weird middleaged bachelor their kids call uncle ted,"['know', 'ever', 'since', 'college', 'marshall', 'lily', 'going', 'marshall', 'lily', 'theyll', 'married', 'start', 'familybefore', 'long', 'weird', 'middleaged', 'bachelor', 'kids', 'call', 'uncle', 'ted']"
Barney,i see what this is about have you forgotten what i said to you the night we met,"['see', 'forgotten', 'said', 'night', 'met']"
Barney,ted im going to teach you how to live  barney we met at the urinal,"['ted', 'going', 'teach', 'live', 'barney', 'met', 'urinal']"
Ted,oh right hi,"['right', 'hi']"
Barney,lesson one lose the goatee it doesnt look good with your suit,"['lesson', 'one', 'lose', 'goatee', 'look', 'good', 'suit']"
Ted,im not wearing a suit,"['wearing', 'suit']"
Barney,lesson two get a suit suits are cool  exhibit a  lesson three dont even think about getting married till youre thirty,"['lesson', 'two', 'suit', 'suits', 'cool', 'exhibit', 'lesson', 'three', 'even', 'think', 'getting', 'married', 'till', 'thirty']"
Ted,thirty right youre right i guess its just youre best friend gets engagedyou start thinking about that stuff,"['thirty', 'right', 'right', 'guess', 'best', 'friend', 'gets', 'engagedyou', 'start', 'thinking', 'stuff']"
Barney,i thought i was your best friend ted say im your best friend,"['thought', 'best', 'friend', 'ted', 'say', 'best', 'friend']"
Ted,youre my best friend barney,"['best', 'friend', 'barney']"
Barney,good and as your best friend i suggest we play a little game called have you met ted,"['good', 'best', 'friend', 'suggest', 'play', 'little', 'game', 'called', 'met', 'ted']"
Ted,waino no no were not playing have you met ted,"['waino', 'playing', 'met', 'ted']"
