Season,Episode,Character,Line,Motion,Polarity,Subjectivity
1,1,Marshall, Will you marry me.,['(Opens ring)'],0.0,0.0
1,1,Ted,"Yes, perfect! And then you're engaged, you pop the champagne! You drink a toast! You have s*x on the kitchen floor... Don't have s*x on our kitchen floor.",[],1.0,1.0
1,1,Marshall,"Got it. Thanks for helping me plan this out, Ted.",[],0.2,0.2
1,1,Ted,"Dude, are you kidding? It's you and Lily! I've been there for all the big moments of you and Lily. The night you met. Your first date... other first things.",[],0.09375,0.28541666666666665
1,1,Marshall," yeah, sorry. We thought you were asleep.",['(laughs)'],-0.5,1.0
1,1,Ted,"It's physics Marshall, if the bottom bunk moves, the top bunk moves too. My god, you're getting engaged tonight.",[],0.5,0.5
1,1,Marshall,"Yeah, what are you doing tonight?",[],0.0,0.0
1,1,Barney," hey, so you know how I've always had a thing for half-Asian girls? Well, now I've got a new favorite: Lebanese girls! Lebanese girls are the new half-Asians.",['(on the phone)'],0.29924242424242425,0.6363636363636364
1,1,Ted,"Hey, you wanna do something tonight?",[],0.0,0.0
1,1,Barney,"Okay, meet me at the bar in fifteen minutes, and Suit up!",[],0.625,0.5
1,1,Ted,Hey.,[],0.0,0.0
1,1,Barney,"Where's your suit!? Just once when I say suit up, I wish you'd put on a suit.",[],0.0,0.0
1,1,Ted,I did that one time.,[],0.0,0.0
1,1,Barney,It was a blazer!,[],0.0,0.0
1,1,Ted,"You know, ever since college it's been Marshall and Lily and me. Now it's going to be Marshall and Lily... and me. They'll get married, start a family-before long I'm the weird, middle-aged bachelor their kids call ""Uncle Ted"".",[],-0.09999999999999999,0.5499999999999999
1,1,Barney,I see what this is about. Have you forgotten what I said to you the night we met?,[],0.0,0.0
1,1,Barney,"Ted, I'm going to teach you how to live.  Barney, we met at the urinal.","[""(Ted's shocked)""]",0.13636363636363635,0.5
1,1,Ted,"Oh, right. Hi.",[],0.2857142857142857,0.5357142857142857
1,1,Barney,"Lesson one, lose the goatee. It doesn't look good with your suit.",[],0.7,0.6000000000000001
1,1,Ted,I'm not wearing a suit.,[],0.0,0.0
1,1,Barney,"Lesson two, get a suit. Suits are cool.  Exhibit A.  Lesson three, don't even think about getting married till you're... thirty.","['(Points to self with bear bottle in hand)', '(Flirts to a woman unseen)']",0.3,0.45
1,1,Ted,"Thirty, right. You're right. I guess it's just, you're best friend gets engaged-you start thinking about that stuff.",[],0.5238095238095238,0.45714285714285713
1,1,Barney,"I thought I was your best friend. Ted, say I'm your best friend.",[],1.0,0.3
1,1,Ted,"You're my best friend, Barney.",[],1.0,0.3
1,1,Barney,"Good! And as your best friend, I suggest we play a little game called... ""Have you met Ted?""",[],0.321875,0.45000000000000007
1,1,Ted,"Wai-no, no, no. We're not playing ""Have You Met Ted?""",[],0.0,0.0
1,1,Barney," Hi, have you met Ted? .","['(Taps a woman names Yasmine)', '(Leaves and watches from a distance)']",0.0,0.0
1,1,Ted," Hi, I'm Ted.",['(To Yasmine)'],0.0,0.0
1,1,Ted,It's a very pretty name.,[],0.325,1.0
1,1,Marshall,Hey!,[],0.0,0.0
1,1,Lily,"Urgh. I'm exhausted. It was finger painting day at school, and a five year old boy  got to second base with me. Wow, you're cooking?",['(takes coat off revealing a purple hand print on her right breast)'],-0.2,0.58
1,1,Marshall,"Yes, I am.",[],0.0,0.0
1,1,Lily,Aww- Are you sure that's a good idea after last time? You looked really creepy without eyebrows.,['(They kiss)'],0.2,0.6911111111111111
1,1,Marshall,I can handle this; I'm full of surprises tonight.,[],0.35,0.55
1,1,Lily,So there's more surprises? Like what?,[],0.5,0.5
1,1,Marshall,BOOGITY BOO! And that's all of them! I'm goanna go... cook. ,['(Leaves)'],0.0,0.0
1,1,Ted,"I'm so happy for Marshall, I really am. I just couldn't imagine settling down right now.",[],0.28253968253968254,0.5061507936507936
1,1,Ted,"Well maybe eventually. Some fall day. Possibly in Central Park. Simple ceremony, we'll write our own vows. But--eh--no DJ, people will dance. I'm not going to worry about it! Damn it, why did Marshall have to get engaged?  Yeah, nothing hotter than a guy planning out his own imaginary wedding, huh?",['(Yasmine laughs)'],0.3375,0.6517857142857143
1,1,Ted,"Well, you're clearly drunk  ONE MORE FOR THE LADY!",['(pulls her wine glass away. Hold up glass to bartender)'],0.0625,0.75
1,1,Marshall,"Okay, look what I got ",['(runs to the fridge. Takes out wine bottle)'],0.5,0.5
1,1,Lily,Aw-honey. Champagne! ,['(hands it to Marshall)'],0.0,0.0
1,1,Marshall, Yeah. ,"['(after short silence)', '(hands it back)']",0.0,0.0
